,county,sex,xiang,m001,m002,m003,m004,m005,m006,m007,m008,m009,m010,m011,m012,m015,m016,m017,m018,m021,m022,m023,m025,m027,m028,m029,m030,m031,m033,m035,m036,m037,m038,m039,m040,m041,m042,m043,m044,m045,m048,m049,m058,m059,m060,m061,m062,m063,m064,m065,m066,m067,m068,m069,m070,m071,m072,m073,m074,m075,m077,m086,m087,m088,m103,m104,m105,m106,m107,m113,m117
530,UE,T,3,,,,160.84,10.75,58.78,,,,,,,,,,,,9.12,2.37,34.29,15.9,22.14,10.86,0.76,89.17,,,,,,,,3.54,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,
533,UF,M,3,,,,173.75,9.6,42.6,,,,,,,,,,,,6.9,1.42,7.91,61.86,10.01,4.52,2.59,40.96,,4.27,,,,,,1.44,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,,,
536,UF,F,3,,,,173.47,6.16,36.07,,,,,,,,,,,,4.46,1.12,3.31,49.57,10.84,6.49,1.07,14.52,,,1.47,3.78,15.87,,,1.35,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,
539,UF,T,3,,,,173.61,7.88,39.34,,,,,,,,,,,,5.68,1.27,5.61,55.72,10.43,5.5,1.83,27.74,,,,,,,,1.4,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,
542,VA,M,3,,,,319.03,15.07,102.45,,,,,,,,,,,,1.66,4.94,0.0,85.49,347.56,8.38,0.0,25.93,,6.08,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,,,,,,
545,VA,F,3,,,,300.06,12.2,74.83,,,,,,,,,,,,4.38,2.65,0.0,17.55,152.74,6.68,0.0,25.38,,,0.0,0.0,42.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,
548,VA,T,3,,,,309.55,13.63,88.64,,,,,,,,,,,,3.02,3.8,0.0,51.52,250.15,7.53,0.0,25.66,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82,,,,,,
551,VB,M,3,,,,137.49,13.16,84.28,,,,,,,,,,,,2.49,3.96,0.0,79.88,261.37,3.8,0.0,24.28,,10.81,,,,,,0.95,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65,,,,,,
554,VB,F,3,,,,121.43,12.06,69.64,,,,,,,,,,,,5.13,2.01,0.0,16.19,63.8,16.02,0.0,9.2,,,1.97,11.56,54.67,,,1.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,,,
557,VB,T,3,,,,129.46,12.61,76.96,,,,,,,,,,,,3.81,2.98,0.0,48.03,162.59,9.91,0.0,16.74,,,,,,,,1.04,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,,,,,
560,VC,M,3,,,,568.61,12.94,65.39,,,,,,,,,,,,0.98,1.99,1.27,40.16,114.09,2.55,0.0,15.24,,6.28,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81,,,,,,
563,VC,F,3,,,,415.88,14.19,49.77,,,,,,,,,,,,5.92,2.51,0.0,22.39,83.48,5.92,0.0,20.24,,,1.85,19.81,76.63,,,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,,,,,
566,VC,T,3,,,,492.25,13.56,57.58,,,,,,,,,,,,3.45,2.25,0.64,31.27,98.79,4.24,0.0,17.74,,,,,,,,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04,,,,,,
569,WA,M,3,13.25,131.06,127.75,299.66,13.26,51.09,241.03,12.38,58.64,88.54,149.62,112.55,5.93,79.04,5.84,4.41,0.0,7.96,5.5,0.77,212.27,200.92,10.01,1.91,65.91,6.1,32.42,,,,4.41,0.77,1.87,0.97,2.02,1.97,1.97,2.06,2.52,7.74,2.98,1.78,27.89,75.61,28.41,2.03,154.18,5.72,143.46,73.66,180.86,70.54,16.81,162.67,23.13,55.25,8.15,6.06,24.21,,,37.9,,66.23,62.03,4.19,12.15,3.51
572,WA,F,3,11.7,120.73,128.17,274.94,10.79,55.03,243.93,10.47,31.01,32.56,144.61,130.96,16.05,96.82,5.66,12.17,0.0,7.98,3.55,2.03,121.65,98.58,6.35,1.65,32.95,0.0,,19.48,17.13,36.74,3.4,0.0,2.18,2.17,0.76,2.24,1.75,1.78,2.03,11.99,3.11,5.46,46.21,55.42,31.75,1.58,162.31,10.41,149.08,67.12,135.59,64.22,8.2,119.33,16.11,40.11,6.7,2.03,25.96,14.19,18.16,41.07,2.57,58.52,55.73,2.79,11.69,2.27
575,WA,T,3,12.47,125.9,127.96,287.3,12.03,53.06,242.48,11.43,44.83,60.55,147.12,121.76,10.99,87.93,5.75,8.29,0.0,7.97,4.53,1.4,166.96,149.75,8.18,1.78,49.43,3.05,,,,,3.91,0.39,2.03,1.57,1.39,2.1,1.86,1.92,2.27,9.87,3.04,3.62,37.05,65.52,30.08,1.8,158.25,8.06,146.27,70.39,158.23,67.38,12.5,141.0,19.62,47.68,7.43,4.04,25.09,,,39.48,,62.38,58.88,3.49,11.92,2.89
578,WB,M,3,27.2,115.52,193.01,531.86,13.45,66.32,468.76,12.19,63.1,125.65,291.74,139.96,12.25,81.76,14.76,7.5,0.0,19.25,4.65,0.0,221.46,110.89,7.79,1.83,61.55,5.02,14.81,,,,3.63,9.96,2.63,0.88,8.76,3.21,3.21,4.19,4.89,15.77,3.08,9.48,25.78,41.83,31.46,1.83,207.0,13.94,101.07,128.4,172.52,126.81,11.73,158.03,29.6,78.29,24.75,7.57,27.15,,,69.25,,136.0,130.01,5.99,30.53,5.11
581,WB,F,3,20.43,78.18,218.67,439.08,12.3,67.12,409.37,11.83,29.72,46.34,248.31,127.28,21.9,74.1,14.48,18.33,0.0,13.44,3.59,0.0,205.89,72.13,11.3,0.0,10.12,0.0,,14.37,5.56,24.54,1.38,2.45,1.27,4.15,8.14,6.98,2.65,4.99,4.7,16.74,3.97,9.82,17.33,79.71,14.9,1.63,275.79,15.11,121.66,93.61,167.56,91.06,6.77,159.72,22.7,50.71,14.45,1.38,19.95,23.28,34.28,55.67,4.33,102.13,98.65,3.47,18.76,3.33
584,WB,T,3,23.82,96.85,205.84,485.47,12.88,66.72,439.06,12.01,46.41,86.0,270.03,133.62,17.07,77.93,14.62,12.91,0.0,16.34,4.12,0.0,213.68,91.51,9.54,0.92,35.84,2.51,,,,,2.5,6.21,1.95,2.52,8.45,5.1,2.93,4.59,4.79,16.25,3.53,9.65,21.55,60.77,23.18,1.73,241.4,14.53,111.36,111.01,170.04,108.94,9.25,158.88,26.15,64.5,19.6,4.48,23.55,,,62.46,,119.06,114.33,4.73,24.65,4.22
587,WC,M,3,25.77,216.04,161.96,522.42,11.67,55.6,468.63,11.06,53.79,60.9,352.12,284.43,28.43,173.14,2.02,7.58,0.0,8.68,2.4,0.0,84.59,84.05,7.85,0.0,19.46,0.0,19.74,,,,1.73,1.8,1.54,0.0,6.58,7.79,7.79,3.46,1.42,20.61,2.01,8.55,30.5,22.12,50.04,0.0,69.19,20.61,132.17,101.45,231.06,94.96,18.35,212.71,32.95,67.24,45.4,4.16,32.75,,,26.15,,128.85,122.94,5.91,3.64,0.61
590,WC,F,3,22.4,189.4,181.17,477.61,10.6,53.45,454.1,10.46,23.51,14.15,317.01,252.84,28.8,150.7,6.07,10.23,0.0,8.64,0.95,3.87,26.41,9.6,0.0,0.0,5.18,0.0,,12.06,1.94,25.61,0.0,5.81,1.61,0.0,7.52,0.0,0.0,3.73,3.87,18.68,1.83,8.92,12.77,23.16,49.48,0.0,59.7,18.68,123.34,101.35,383.04,94.72,41.74,341.3,40.49,58.18,35.3,0.0,43.46,9.71,16.32,24.79,1.48,111.99,109.02,2.97,3.3,0.17
593,WC,T,3,24.09,202.72,171.56,500.01,11.13,54.53,461.37,10.76,38.65,37.52,334.56,268.63,28.62,161.92,4.04,8.91,0.0,8.66,1.68,1.94,55.5,46.82,3.92,0.0,12.32,0.0,,,,,0.86,3.8,1.58,0.0,7.05,3.9,3.9,3.6,2.65,19.64,1.92,8.74,21.64,22.64,49.76,0.0,64.45,19.64,127.75,101.4,307.05,94.84,30.05,277.0,36.72,62.71,40.35,2.08,38.11,,,25.47,,120.42,115.98,4.44,3.47,0.39
596,XA,M,3,17.36,121.93,106.33,343.55,14.05,91.05,255.83,12.81,87.72,123.31,145.27,88.78,3.14,35.67,0.59,10.02,0.0,6.14,5.14,7.75,79.08,308.05,8.17,0.0,64.94,1.68,25.42,,,,0.0,0.0,3.44,3.92,1.77,0.0,0.0,1.9,0.0,16.13,2.31,2.32,9.76,20.39,43.75,0.0,155.31,16.13,75.8,68.51,274.71,65.32,10.95,256.03,5.98,104.9,38.96,16.54,19.88,,,60.14,,86.78,71.94,14.84,28.45,9.07
599,XA,F,3,13.61,85.23,119.6,287.11,13.06,70.61,226.75,12.63,60.36,43.06,142.33,119.07,8.98,60.0,4.72,11.09,0.0,5.31,2.29,0.0,28.07,55.22,8.15,0.68,26.83,0.0,,12.67,11.54,65.28,4.31,10.33,1.3,4.32,1.23,12.14,0.0,0.84,1.67,9.66,3.1,2.42,28.45,32.77,40.08,0.68,209.05,8.98,101.31,61.35,452.97,59.64,11.45,438.9,6.38,72.57,31.01,2.61,23.17,6.89,11.74,49.33,2.39,68.05,58.11,9.94,18.15,6.48
602,XA,T,3,15.48,103.58,112.97,315.33,13.56,80.83,241.29,12.72,74.04,83.19,143.8,103.92,6.06,47.84,2.65,10.55,0.0,5.72,3.71,3.88,53.58,181.64,8.16,0.34,45.88,0.84,,,,,2.15,5.17,2.37,4.12,1.5,6.07,0.0,1.37,0.83,12.89,2.71,2.37,19.11,26.58,41.91,0.34,182.18,12.55,88.56,64.93,363.84,62.48,11.2,347.46,6.18,88.73,34.98,9.57,21.53,,,54.73,,77.42,65.03,12.39,23.3,7.78
605,XB,M,3,28.69,229.29,243.74,614.67,20.27,141.51,527.92,18.48,86.75,179.76,327.22,274.91,11.0,82.15,16.16,48.51,0.0,6.56,4.19,5.9,51.41,253.56,15.46,1.47,28.06,10.46,7.17,,,,0.0,4.2,2.37,3.27,6.85,11.01,8.64,3.01,2.86,13.53,2.0,3.78,35.77,14.12,14.97,1.8,120.83,11.73,78.79,106.64,564.43,103.21,88.48,446.47,47.09,313.93,135.42,125.38,58.5,,,87.16,,143.46,136.14,7.32,52.05,23.42
608,XB,F,3,25.79,182.44,286.46,584.29,17.23,106.26,512.17,16.49,72.12,74.68,312.03,262.27,33.84,95.35,11.2,29.87,0.0,4.89,2.97,0.0,6.47,168.91,11.9,0.0,21.88,8.45,,2.37,1.44,52.47,1.17,3.81,0.79,0.0,7.54,7.37,5.41,1.64,3.04,19.18,2.66,9.55,79.53,24.8,21.09,1.87,135.43,17.3,130.56,88.48,518.46,83.03,61.59,437.29,40.85,200.62,96.14,34.75,23.47,16.83,23.13,74.49,2.82,128.97,121.1,7.87,46.54,23.43
611,XB,T,3,27.24,205.87,265.1,599.48,18.75,123.89,520.04,17.48,79.44,127.22,319.63,268.59,22.42,88.75,13.68,39.19,0.0,5.72,3.58,2.95,28.94,211.24,13.68,0.73,24.97,9.46,,,,,0.58,4.0,1.58,1.64,7.2,9.19,7.03,2.32,2.95,16.36,2.33,6.67,57.65,19.46,18.03,1.84,128.13,14.52,104.68,97.56,541.45,93.12,75.04,441.88,43.97,257.28,115.78,80.06,40.98,,,80.83,,136.22,128.62,7.6,49.3,23.43
614,YA,M,3,16.37,105.44,136.85,342.13,19.35,81.86,292.29,17.94,49.85,140.23,170.39,164.01,6.74,57.1,6.14,19.12,0.0,7.89,4.15,5.92,115.03,135.36,15.21,0.73,64.75,4.94,45.94,,,,3.33,4.23,2.69,4.09,3.16,2.26,2.26,0.84,1.56,9.71,3.52,3.24,27.47,48.19,32.87,1.82,234.43,7.89,117.1,93.12,694.1,88.0,38.61,631.9,18.86,124.78,35.99,33.62,34.04,,,58.34,,81.83,78.47,3.36,25.43,7.34
617,YA,F,3,12.38,88.46,149.67,287.72,15.81,65.08,265.8,15.53,21.93,28.29,144.9,153.71,12.99,49.28,10.57,24.2,0.0,9.08,3.34,0.87,80.28,85.94,15.6,0.62,26.34,1.16,,16.58,8.03,75.57,3.43,1.35,2.77,2.2,4.0,2.74,0.35,0.65,2.27,17.33,3.5,5.86,63.47,46.9,31.52,2.45,188.04,14.87,161.75,75.03,556.29,70.28,29.4,513.43,14.27,90.78,25.37,14.02,21.45,15.98,18.25,45.11,3.55,61.92,59.29,2.63,18.2,4.83
620,YA,T,3,14.38,96.95,143.26,314.93,17.58,73.47,279.05,16.73,35.89,84.26,157.65,158.86,9.87,53.19,8.36,21.66,0.0,8.48,3.75,3.4,97.66,110.65,15.41,0.68,45.55,3.05,,,,,3.38,2.79,2.73,3.15,3.58,2.5,1.3,0.74,1.92,13.52,3.51,4.55,45.47,47.55,32.2,2.14,211.24,11.38,139.43,84.08,625.2,79.14,34.01,572.66,16.57,107.78,30.68,23.82,27.75,,,51.73,,71.88,68.88,3.0,21.82,6.08
